leanos-serial-protocol	1
source-revision	26dda8e6c600df9d90770b14189a7cd6ab86fc4c
record	18	DIVIDE-ERROR-ENTRY	LEANOS_SERIAL_18_DIVIDE_ERROR_ENTRY	LEANOS/18 DIVIDE-ERROR-ENTRY
record	18	DIVIDE-ERROR-PEER	LEANOS_SERIAL_18_DIVIDE_ERROR_PEER	LEANOS/18 DIVIDE-ERROR-PEER
record	18	DIVIDE-ERROR-TERMINATE	LEANOS_SERIAL_18_DIVIDE_ERROR_TERMINATE	LEANOS/18 DIVIDE-ERROR-TERMINATE
record	18	EARLY-TERMINAL	LEANOS_SERIAL_18_EARLY_TERMINAL	LEANOS/18 EARLY-TERMINAL
record	18	EARLY64-READY	LEANOS_SERIAL_18_EARLY64_READY	LEANOS/18 EARLY64-READY
record	18	ENTER	LEANOS_SERIAL_18_ENTER	LEANOS/18 ENTER
record	18	FINAL	LEANOS_SERIAL_18_FINAL	LEANOS/18 FINAL
record	19	BOOT	LEANOS_SERIAL_19_BOOT	LEANOS/19 BOOT
record	19	ENTER	LEANOS_SERIAL_19_ENTER	LEANOS/19 ENTER
record	19	FINAL	LEANOS_SERIAL_19_FINAL	LEANOS/19 FINAL
record	19	TLB	LEANOS_SERIAL_19_TLB	LEANOS/19 TLB
record	19	TLB-CPL3	LEANOS_SERIAL_19_TLB_CPL3	LEANOS/19 TLB-CPL3
record	20	A-ALLOC	LEANOS_SERIAL_20_A_ALLOC	LEANOS/20 A-ALLOC
record	20	A-REJECT	LEANOS_SERIAL_20_A_REJECT	LEANOS/20 A-REJECT
record	20	B-ALLOC	LEANOS_SERIAL_20_B_ALLOC	LEANOS/20 B-ALLOC
record	20	B-CONTEXT	LEANOS_SERIAL_20_B_CONTEXT	LEANOS/20 B-CONTEXT
record	20	B-PUBLISH	LEANOS_SERIAL_20_B_PUBLISH	LEANOS/20 B-PUBLISH
record	20	BOOT	LEANOS_SERIAL_20_BOOT	LEANOS/20 BOOT
record	20	CANARY	LEANOS_SERIAL_20_CANARY	LEANOS/20 CANARY
record	20	CLEANUP	LEANOS_SERIAL_20_CLEANUP	LEANOS/20 CLEANUP
record	20	DISPATCH	LEANOS_SERIAL_20_DISPATCH	LEANOS/20 DISPATCH
record	20	ENTER	LEANOS_SERIAL_20_ENTER	LEANOS/20 ENTER
record	20	FINAL	LEANOS_SERIAL_20_FINAL	LEANOS/20 FINAL
record	20	FRAME	LEANOS_SERIAL_20_FRAME	LEANOS/20 FRAME
record	20	SCRUB	LEANOS_SERIAL_20_SCRUB	LEANOS/20 SCRUB
record	20	STALE	LEANOS_SERIAL_20_STALE	LEANOS/20 STALE
record	21	VTD	LEANOS_SERIAL_21_VTD	LEANOS/21 VTD
record	21	VTD-ACTIVATE	LEANOS_SERIAL_21_VTD_ACTIVATE	LEANOS/21 VTD-ACTIVATE
record	21	VTD-ASSIGN	LEANOS_SERIAL_21_VTD_ASSIGN	LEANOS/21 VTD-ASSIGN
record	21	VTD-FAULT	LEANOS_SERIAL_21_VTD_FAULT	LEANOS/21 VTD-FAULT
record	21	VTD-PLAN	LEANOS_SERIAL_21_VTD_PLAN	LEANOS/21 VTD-PLAN
record	21	VTD-REUSE	LEANOS_SERIAL_21_VTD_REUSE	LEANOS/21 VTD-REUSE
record	21	VTD-TABLES	LEANOS_SERIAL_21_VTD_TABLES	LEANOS/21 VTD-TABLES
record	21	VTD-TRANSFER	LEANOS_SERIAL_21_VTD_TRANSFER	LEANOS/21 VTD-TRANSFER
record	21	VTD-UNMAPPED-FAULT	LEANOS_SERIAL_21_VTD_UNMAPPED_FAULT	LEANOS/21 VTD-UNMAPPED-FAULT
record	21	VTD-WRITE-FAULT	LEANOS_SERIAL_21_VTD_WRITE_FAULT	LEANOS/21 VTD-WRITE-FAULT
record	22	ACCEPT	LEANOS_SERIAL_22_ACCEPT	LEANOS/22 ACCEPT
record	22	BOOT	LEANOS_SERIAL_22_BOOT	LEANOS/22 BOOT
record	22	DELEGATED-SEND	LEANOS_SERIAL_22_DELEGATED_SEND	LEANOS/22 DELEGATED-SEND
record	22	DISPATCH	LEANOS_SERIAL_22_DISPATCH	LEANOS/22 DISPATCH
record	22	ENTER	LEANOS_SERIAL_22_ENTER	LEANOS/22 ENTER
record	22	EXCESS-RIGHT-DENIAL	LEANOS_SERIAL_22_EXCESS_RIGHT_DENIAL	LEANOS/22 EXCESS-RIGHT-DENIAL
record	22	FINAL	LEANOS_SERIAL_22_FINAL	LEANOS/22 FINAL
record	22	OFFER	LEANOS_SERIAL_22_OFFER	LEANOS/22 OFFER
record	22	SEALED-DENIAL	LEANOS_SERIAL_22_SEALED_DENIAL	LEANOS/22 SEALED-DENIAL
record	22	UNRELATED	LEANOS_SERIAL_22_UNRELATED	LEANOS/22 UNRELATED
record	23	BOOT	LEANOS_SERIAL_23_BOOT	LEANOS/23 BOOT
record	23	CANCELED-HANDLE-DENIAL	LEANOS_SERIAL_23_CANCELED_HANDLE_DENIAL	LEANOS/23 CANCELED-HANDLE-DENIAL
record	23	CANCELED-RECEIPT	LEANOS_SERIAL_23_CANCELED_RECEIPT	LEANOS/23 CANCELED-RECEIPT
record	23	DISPATCH	LEANOS_SERIAL_23_DISPATCH	LEANOS/23 DISPATCH
record	23	ENTER	LEANOS_SERIAL_23_ENTER	LEANOS/23 ENTER
record	23	FINAL	LEANOS_SERIAL_23_FINAL	LEANOS/23 FINAL
record	23	FRESH-SEND	LEANOS_SERIAL_23_FRESH_SEND	LEANOS/23 FRESH-SEND
record	23	OFFER	LEANOS_SERIAL_23_OFFER	LEANOS/23 OFFER
record	23	OFFER-DENIAL	LEANOS_SERIAL_23_OFFER_DENIAL	LEANOS/23 OFFER-DENIAL
record	23	REPLACE	LEANOS_SERIAL_23_REPLACE	LEANOS/23 REPLACE
record	23	REVOKE	LEANOS_SERIAL_23_REVOKE	LEANOS/23 REVOKE
record	23	REVOKE-DENIAL	LEANOS_SERIAL_23_REVOKE_DENIAL	LEANOS/23 REVOKE-DENIAL
record	23	UNRELATED	LEANOS_SERIAL_23_UNRELATED	LEANOS/23 UNRELATED
record	24	BOOT	LEANOS_SERIAL_24_BOOT	LEANOS/24 BOOT
record	24	CPU	LEANOS_SERIAL_24_CPU	LEANOS/24 CPU
record	24	CONTROL	LEANOS_SERIAL_24_CONTROL	LEANOS/24 CONTROL
record	25	BOOT	LEANOS_SERIAL_25_BOOT	LEANOS/25 BOOT
record	25	CPU	LEANOS_SERIAL_25_CPU	LEANOS/25 CPU
record	25	CONTROL	LEANOS_SERIAL_25_CONTROL	LEANOS/25 CONTROL
record	25	PCI-SCAN	LEANOS_SERIAL_25_PCI_SCAN	LEANOS/25 PCI-SCAN
record	25	PCI-HEADER	LEANOS_SERIAL_25_PCI_HEADER	LEANOS/25 PCI-HEADER
pre-admission-boot-record	17	BOOT
pre-admission-boot-record	22	BOOT
pre-admission-boot-record	23	BOOT
pre-admission-boot-record	20	BOOT
pre-admission-boot-record	14	BOOT
pre-admission-boot-record	13	BOOT
pre-admission-boot-record	19	BOOT
pre-admission-boot-record	16	BOOT
pre-admission-boot-record	18	BOOT
pre-admission-boot-record	6	BOOT
pre-admission-boot-record	10	BOOT
pre-admission-record	15	DMA-FUNCTION
pre-admission-record	15	DMA
pre-admission-record	8	PAGING
pre-admission-record	19	TLB
pre-admission-record	21	VTD
pre-admission-record	21	VTD-PLAN
pre-admission-record	21	VTD-TABLES
